,TA2ID,English,3D,label,Def
112,112.0,Face,,, x
113,113.0,Eye (part of head),,,
114,114.0,Upper eyelid, x, x, x
115,115.0,Lower eyelid, x, x, x
116,116.0,Cheek, x, x, x
117,117.0,External nose, x, x, x
118,118.0,Ala of nose,, x, x
119,119.0,Mouth, x, x, x
120,120.0,Upper lip, x, x, x
121,121.0,Lower lip,,, x
122,122.0,Chin, x, x, x
123,123.0,Neck,,, x
124,124.0,Trunk,,,
125,125.0,Thorax,,, x
126,126.0,Thoracic cavity, x, x, x
127,127.0,Abdomen,,, x
128,128.0,Abdominal cavity,,,
129,129.0,Pelvis,,, x
130,130.0,Pelvic cavity,, x, x
131,131.0,Perineum,,, x
132,132.0,Anterior trunk,,,
133,133.0,Anterolateral thoracic wall,,,
134,134.0,Anterolateral abdominal wall,,,
135,135.0,Back,,,
136,136.0,Back of thorax,,,
137,137.0,Back of abdomen,,,
138,138.0,Upper limb,,, x
139,139.0,Shoulder,,, x
140,140.0,Axilla,,, x
141,141.0,Anterior axillary fold,,,
142,142.0,Posterior axillary fold,,,
143,143.0,Free part of upper limb,,,
144,144.0,Arm,,, x
145,145.0,Elbow,,, x
146,146.0,Forearm,,, x
147,147.0,Wrist,,, x
148,148.0,Hand,,, x
149,149.0,Metacarpus,,,
150,150.0,Digits of hand,,,
151,151.0,Thumb,,, x
152,152.0,Index finger,,, x
153,153.0,Middle finger,,, x
154,154.0,Ring finger,,, x
155,155.0,Little finger,,, x
156,156.0,Lower limb,,, x
157,157.0,Buttock,,, x
158,158.0,Hip,,, x
159,159.0,Free part of lower limb,,,
160,160.0,Thigh,,, x
161,161.0,Knee,,, x
162,162.0,Posterior part of knee,,,
163,163.0,Leg,,, x
164,164.0,Calf,,, x
165,165.0,Ankle,,, x
166,166.0,Foot,,, x
167,167.0,Heel,,, x
168,168.0,Midfoot,,,
169,169.0,Metatarsus,,,
170,170.0,Digits of foot,,,
171,171.0,Great toe,,,
172,172.0,Second toe,,,
173,173.0,Third toe,,,
174,174.0,Fourth toe,,,
175,175.0,Little toe,,,
176,176.0,Regions of human body,, x, x
177,177.0,Regions of head, x, x, x
178,178.0,Regions of epicranium, x, x, x
179,179.0,Vertex,,, x
180,180.0,Frontal region, x,, x
181,181.0,Eyebrow, x,, x
182,182.0,Parietal region, x,, x
183,183.0,Occipital region, x,, x
184,184.0,Temporal region, x,, x
185,185.0,Mastoid region, x,, x
186,186.0,Auricular region, x, x, x
187,187.0,Triangular fossa, x,, x
188,188.0,Scapha, x,, x
189,189.0,Concha of auricle, x,, x
190,190.0,Cymba conchae, x,, x
191,191.0,Cavity of concha, x,, x
192,192.0,Anterior notch of auricle, x,, x
193,193.0,Intertragic incisure, x,, x
194,194.0,Auricular tubercle, x,,
195,195.0,Apex of auricle, x,,
196,196.0,Posterior auricular groove, x,, x
197,197.0,(Supratragic tubercle),,,
198,198.0,Fossa antihelica, x,, x
199,199.0,Eminentia conchae, x,,
200,200.0,Eminentia scaphae, x,,
201,201.0,Eminentia fossae triangularis, x,,
202,202.0,Regions of face, x, x, x
203,203.0,Orbital region, x,, x
204,204.0,Suprapalpebral sulcus,,,
205,205.0,Palpebral fissure,,, x
206,206.0,Lateral palpebral commissure,,,
207,207.0,Medial palpebral commissure,,,
208,208.0,Lateral angle of eye,,,
209,209.0,Medial angle of eye,,,
210,210.0,Infrapalpebral sulcus,,,
211,211.0,Palpebronasal fold,,,
212,212.0,Infra-orbital region, x,,
213,213.0,Buccal region, x,, x
214,214.0,Parotideomasseteric region, x,,
215,215.0,Zygomatic region, x,, x
216,216.0,Nasal region, x,, x
217,217.0,Root of nose, x, x, x
218,218.0,Dorsum of nose,,, x
219,219.0,Apex of nose, x, x, x
220,220.0,Nasolabial sulcus, x,, x
221,221.0,Oral region, x,, x
222,222.0,Philtrum, x,, x
223,223.0,Tubercle of upper lip, x,, x
224,224.0,Labial commissure, x,, x
225,225.0,Angle of mouth, x,, x
226,226.0,Mentolabial sulcus, x,, x
227,227.0,Mental region, x,, x
228,228.0,Regions of neck, x, x, x
229,229.0,Anterior region of neck, x, x, x
230,230.0,Anterior triangle of neck,,,
231,231.0,Suprahyoid region, x, x, x
232,232.0,Submandibular triangle, x,, x
233,233.0,Submental triangle, x,, x
234,234.0,Infrahyoid region, x, x, x
235,235.0,Carotid triangle, x,, x
236,236.0,Muscular triangle, x,, x
237,237.0,Sternocleidomastoid region, x, x, x
238,238.0,Lesser supraclavicular fossa, x,, x
239,239.0,Lateral region of neck, x, x, x
240,240.0,Greater supraclavicular fossa, x,,
241,241.0,Omoclavicular triangle,,,
242,242.0,Occipital triangle,,, x
243,243.0,Posterior region of neck, x,, x
244,244.0,Regions of thorax, x, x, x
245,245.0,Anterior region of thorax, x, x, x
246,246.0,Precordium,,, x
247,247.0,Presternal region, x,, x
248,248.0,Infraclavicular fossa, x,, x
249,249.0,Deltopectoral triangle, x,, x
250,250.0,Deltopectoral groove,,, x
251,251.0,Pectoral region, x,, x
252,252.0,Mammary region, x,, x
253,253.0,Inframammary region, x,, x
254,254.0,Lateral region of thorax, x,, x
255,255.0,Regions of abdomen, x, x, x
256,256.0,Hypochondriac region, x,, x
257,257.0,Epigastric region, x,, x
258,258.0,Epigastric fossa,,,
259,259.0,Lateral region of abdomen, x,, x
260,260.0,Umbilical region, x,, x
261,261.0,Umbilicus, x,, x
262,262.0,Inguinal region, x,, x
263,263.0,Hypogastric region, x,, x
264,264.0,Regions of back, x, x, x
265,265.0,Vertebral region, x,, x
266,266.0,Scapular region, x,, x
267,267.0,Triangle of auscultation, x,, x
268,268.0,Infrascapular region, x,, x
269,269.0,Lumbar region, x,, x
270,270.0,Lumbar triangle,,, x
271,271.0,Superior lumbar triangle,,,
272,272.0,Sacral region, x,, x
273,273.0,Sacro-iliac dimple,,,
274,274.0,Coccygeal region,,,
275,275.0,(Coccygeal foveola),,,
276,276.0,Regions of perineum, x, x, x
277,277.0,Anal region, x,, x
278,278.0,Anal triangle,,, x
279,279.0,Urogenital region, x,, x
280,280.0,Regions of upper limb, x, x, x
281,281.0,Axillary region,,,
282,282.0,Axillary fossa,,,
283,283.0,Deltoid region, x,, x
284,284.0,Brachial region, x, x,
285,285.0,Anterior region of arm, x,,
286,286.0,Lateral bicipital groove, x,,
287,287.0,Medial bicipital groove, x,, x
288,288.0,Posterior region of arm, x,,
289,289.0,Cubital region, x, x,
290,290.0,Anterior region of elbow, x,,
291,291.0,Cubital fossa, x,, x
292,292.0,Posterior region of elbow, x,,
293,293.0,Antebrachial region, x, x,
294,294.0,Anterior region of forearm, x,,
295,295.0,Posterior region of forearm, x,,
296,296.0,Lateral border of forearm, x,,
297,297.0,Medial border of forearm, x,,
298,298.0,Carpal region, x, x,
299,299.0,Anterior region of wrist, x,,
300,300.0,Posterior region of wrist, x,,
301,301.0,Radial foveola, x,,
302,302.0,Regions of hand, x, x,
303,303.0,Metacarpal region,,,
304,304.0,Dorsum of hand, x,,
305,305.0,Palm, x,, x
306,306.0,Thenar eminence,,, x
307,307.0,Hypothenar eminence,,, x
308,308.0,Regions of digits of hand, x, x,
309,309.0,Palmar surfaces of digits of hand, x,,
310,310.0,Dorsal surfaces of digits of hand, x,,
311,311.0,Interdigital spaces of hand,,,
312,312.0,Regions of lower limb, x, x,
313,313.0,Gluteal region, x, x,
314,314.0,Intergluteal cleft,,, x
315,315.0,Gluteal fold, x,,
316,316.0,Hip region, x,,
317,317.0,Femoral region, x, x,
318,318.0,Anterior region of thigh, x, x,
319,319.0,Femoral triangle, x,, x
320,320.0,Posterior region of thigh, x,,
321,321.0,Knee region, x, x,
322,322.0,Anterior region of knee, x,,
323,323.0,Posterior region of knee, x, x,
324,324.0,Popliteal fossa, x,, x
325,325.0,Leg region, x, x,
326,326.0,Anterior region of leg, x,,
327,327.0,Posterior region of leg, x,,
328,328.0,Sural region,,,
329,329.0,Talocrural region,, x,
330,330.0,Anterior region of ankle, x,,
331,331.0,Posterior region of ankle, x, x,
332,332.0,Lateral retromalleolar region, x,,
333,333.0,Medial retromalleolar region, x,,
334,334.0,Regions of foot, x, x,
335,335.0,Heel region, x,,
336,336.0,Dorsum of foot, x,,
337,337.0,Sole, x,,
338,338.0,Longitudinal arch of foot,,,
339,339.0,Lateral part of longitudinal arch of foot, x,,
340,340.0,Medial part of longitudinal arch of foot, x,,
341,341.0,Proximal transverse arch of foot, x,,
342,342.0,Distal transverse arch of foot, x,,
343,343.0,Lateral border of foot, x,,
344,344.0,Medial border of foot, x,,
345,345.0,Metatarsal region, x,,
346,346.0,Hallucial eminence, x,,
347,347.0,Regions of digits of foot, x, x,
348,348.0,Plantar surfaces of digits of foot, x,,
349,349.0,Dorsal surfaces of digits of foot, x,,
350,350.0,Interdigital spaces of foot,,,
351,351.0,Musculoskeletal systems,,,
352,352.0,Skeletal system,, x, x
353,353.0,Axial skeleton, x, x, x
354,354.0,Neurocranium, x, x, x
355,355.0,Viscerocranium, x, x, x
356,356.0,Facial bones, x, x, x
357,357.0,Chondrocranium,,, x
358,358.0,Desmocranium,,, x
359,359.0,Appendicular skeleton, x, x, x
360,360.0,Skeleton of upper limbs, x, x,
361,361.0,Pectoral girdle, x, x, x
362,362.0,Skeleton of free upper limb, x, x, x
363,363.0,Skeleton of lower limbs, x, x, x
364,364.0,Pelvic girdle, x, x, x
365,365.0,Skeleton of free lower limb, x, x, x
366,366.0,Bones,,,
367,367.0,Membranous bone,,, x
368,368.0,Endochondral bone,,, x
369,369.0,Long bone,,, x
370,370.0,Short bone,,, x
371,371.0,Flat bone,,, x
372,372.0,Irregular bone,,, x
373,373.0,Pneumatised bone,,,
374,374.0,Sesamoid bone,,, x
375,375.0,(Accessory bone),,,
376,376.0,(Supernumerary bone),,,
377,377.0,Bone,,, x
378,378.0,Bony part of bone,,,
379,379.0,Compact bone,,, x
380,380.0,Spongy bone,,, x
381,381.0,Cartilaginous part of bone,,,
382,382.0,Articular cartilage,,, x
383,383.0,Membranous part of bone,,,
384,384.0,Periosteum,,, x
385,385.0,Perichondrium,,, x
386,386.0,Medullary cavity,,, x
387,387.0,Endosteum,,, x
388,388.0,Bone marrow,,, x
389,389.0,Yellow bone marrow,,, x
390,390.0,Red bone marrow,,, x
391,391.0,Diaphysis,,, x
392,392.0,Metaphysis,,, x
393,393.0,Epiphysis,,, x
394,394.0,Epiphysial cartilage,,,
395,395.0,Epiphysial plate,,,
396,396.0,Epiphysial line,,,
397,397.0,Apophysis,,, x
398,398.0,Articular surface,,,
399,399.0,Articular fossa,,,
400,400.0,(Articular head),,,
401,401.0,Nutrient foramen,,, x
402,402.0,Nutrient canal,,, x
403,403.0,Ossification centres,,,
404,404.0,Primary ossification centre,,,
405,405.0,Secondary ossification centre,,,
406,406.0,Cranium, x, x, x
407,407.0,Frontal aspect of cranium,,,
408,408.0,Superior aspect of cranium,,,
409,409.0,Occipital aspect of cranium,,,
410,410.0,Lateral aspect of cranium,,,
411,411.0,Inferior aspect of cranium,,,
412,412.0,Pericranium,,, x
413,413.0,Cranial cavity (part of skeletal system),,,
414,414.0,Forehead of cranium,,,
415,415.0,Occiput of cranium,,,
416,416.0,Vertex of cranium,,,
417,417.0,Nasion,,,
418,418.0,Bregma,,, x
419,419.0,Lambda,,, x
420,420.0,Inion,,,
421,421.0,Pterion,,,
422,422.0,Asterion,,,
423,423.0,Porion,,,
424,424.0,Basion,,,
425,425.0,Opisthion,,,
426,426.0,Temporal fossa,,,
427,427.0,Zygomatic arch,,, x
428,428.0,Infratemporal fossa,,,
429,429.0,Pterygopalatine fossa,,,
430,430.0,Pterygomaxillary fissure,,,
431,431.0,Fontanelles,,,
432,432.0,Anterior fontanelle,,, x
433,433.0,Posterior fontanelle,,, x
434,434.0,Sphenoidal fontanelle,,,
435,435.0,Mastoid fontanelle,,,
436,436.0,Calvaria,,, x
437,437.0,External table of calvaria,,,
438,438.0,Diploe,,, x
439,439.0,Diploic canals,,,
440,440.0,Internal table of calvaria,,,
441,441.0,Groove for superior sagittal sinus,,, x
442,442.0,Granular foveolae,,, x
443,443.0,Impressions of cerebral gyri,,, x
444,444.0,Eminences of cerebral sulci,,,
445,445.0,Venous grooves,,,
446,446.0,Arterial grooves,,,
447,447.0,Cranial base,,,
448,448.0,Internal surface of cranial base,,,
449,449.0,Sphenopetrosal fissure,,, x
450,450.0,Petro-occipital fissure,,, x
451,451.0,Anterior cranial fossa,,, x
452,452.0,Middle cranial fossa,,, x
453,453.0,Posterior cranial fossa,,, x
454,454.0,Clivus,,, x
455,455.0,Groove for inferior pertrosal sinus,,,
456,456.0,Groove for sigmoid sinus,,,
457,457.0,External surface of cranial base,,,
458,458.0,Jugular foramen,,, x
459,459.0,Foramen lacerum,,, x
460,460.0,(Sphenotemporal foramen),,,
461,461.0,Bony palate,,,
462,462.0,Greater palatine canal,,, x
463,463.0,Greater palatine foramen,,, x
464,464.0,Incisive fossa,,, x
465,465.0,(Palatine torus),,,
466,466.0,Palatovaginal canal,,, x
467,467.0,Vomerovaginal canal,,, x
468,468.0,Vomerorostral canal,,, x
469,469.0,Orbit,,, x
470,470.0,Periorbita,,,
471,471.0,Orbital septum,,, x
472,472.0,Orbital cavity,,,
473,473.0,Orbital opening,,,
474,474.0,Orbital margin,,,
475,475.0,Supra-orbital margin,,,
476,476.0,Infra-orbital margin,,,
477,477.0,Lateral margin of orbit,,,
478,478.0,Medial margin of orbit,,,
479,479.0,Roof of orbit,,,
480,480.0,Floor of orbit,,,
481,481.0,Lateral wall of orbit,,,
482,482.0,(Cranio-orbital foramen),,,
483,483.0,Medial wall of orbit,,,
484,484.0,Anterior ethmoidal foramen,,,
485,485.0,Posterior ethmoidal foramen,,,
486,486.0,Fossa for lacrimal sac,,,
487,487.0,Apex of orbit,,, x
488,488.0,Superior orbital fissure,,,
489,489.0,Inferior orbital fissure,,,
490,490.0,Nasolacrimal canal,,, x
491,491.0,Bony part of nasal septum,,, x
492,492.0,Nasal cavity of cranium,,,
493,493.0,Piriform aperture,,, x
494,494.0,Superior nasal meatus of cranium,,,
495,495.0,Middle nasal meatus of cranium,,,
496,496.0,Inferior nasal meatus of cranium,,,
497,497.0,Opening of nasolacrimal canal,,,
498,498.0,Common nasal meatus of cranium,,,
499,499.0,Spheno-ethmoidal recess of cranium,,, x
500,500.0,Nasopharyngeal meatus of cranium,,,
501,501.0,Choana of cranium,,,
502,502.0,Sphenopalatine foramen,,,
503,503.0,Bones of cranium, x, x, x
504,504.0,Parietal bone, x,, x
505,505.0,Internal surface of parietal bone, x, x, x
506,506.0,Groove for middle meningeal artery, x, x, x
507,507.0,External surface of parietal bone, x, x, x
508,508.0,Superior temporal line, x, x, x
509,509.0,Inferior temporal line, x, x, x
510,510.0,Parietal eminence, x, x, x
511,511.0,Occipital border of parietal bone, x, x, x
512,512.0,Squamosal border of parietal bone, x, x, x
513,513.0,Sagittal border of parietal bone, x, x, x
514,514.0,Frontal border of parietal bone, x, x, x
515,515.0,Frontal angle of parietal bone, x, x, x
516,516.0,Occipital angle of parietal bone, x, x, x
517,517.0,Sphenoidal angle of parietal bone, x, x, x
518,518.0,Mastoid angle of parietal bone, x, x, x
519,519.0,Parietal foramen, x, x, x
520,520.0,Frontal bone, x,, x
521,521.0,Squamous part of frontal bone, x, x, x
522,522.0,External surface of squamous part of frontal bone,, x, x
523,523.0,Frontal eminence, x, x, x
524,524.0,Superciliary arch,, x, x
525,525.0,Glabella, x, x, x
526,526.0,Frontal part of orbital margin, x, x,
527,527.0,Supra-orbital foramen,,,
528,528.0,(Supra-orbital notch), x, x, x
529,529.0,(Frontal notch),,,
530,530.0,(Frontal foramen),,,
531,531.0,Temporal surface of frontal bone, x, x, x
532,532.0,Parietal margin of frontal bone, x, x, x
533,533.0,Temporal line, x, x, x
534,534.0,Zygomatic process of frontal bone, x, x, x
535,535.0,Internal surface of squamous part of frontal bone, x, x, x
536,536.0,Frontal crest, x, x, x
537,537.0,Foramen caecum of frontal bone, x, x, x
538,538.0,Nasal part of frontal bone, x, x, x
539,539.0,Nasal spine of frontal bone, x, x, x
540,540.0,Nasal margin of frontal bone, x, x, x
541,541.0,Orbital part of frontal bone, x, x, x
542,542.0,Orbital plate of frontal bone, x, x, x
543,543.0,Orbital surface of frontal bone, x, x, x
544,544.0,(Trochlear spine),, x, x
545,545.0,Trochlear fovea, x, x, x
546,546.0,Fossa for lacrimal gland, x, x, x
547,547.0,Sphenoidal margin of frontal bone, x, x, x
548,548.0,Ethmoidal notch, x, x, x
549,549.0,Sinus of frontal bone, x,, x
550,550.0,Opening of frontal sinus, x, x, x
551,551.0,Septum of frontal sinuses, x, x,
552,552.0,Occipital bone, x,, x
553,553.0,Foramen magnum, x, x, x
554,554.0,Basilar part of occipital bone, x, x, x
555,555.0,Pharyngeal tubercle, x, x, x
556,556.0,Lateral part of occipital bone, x, x, x
557,557.0,Occipital condyle, x, x, x
558,558.0,Condylar canal, x, x, x
559,559.0,Hypoglossal canal, x, x, x
560,560.0,Condylar fossa, x, x, x
561,561.0,Jugular tubercle,,, x
562,562.0,Jugular notch of occipital bone, x, x, x
563,563.0,Jugular process, x, x, x
564,564.0,Intrajugular process of occipital bone, x, x, x
565,565.0,Squamous part of occipital bone, x, x, x
566,566.0,Mastoid border of occipital bone, x, x, x
567,567.0,Lambdoidal border of occipital bone,,,
568,568.0,External occipital protuberance, x, x, x
569,569.0,(External occipital crest), x, x, x
570,570.0,Supreme nuchal line, x, x, x
571,571.0,Superior nuchal line, x, x, x
572,572.0,Inferior nuchal line, x, x, x
573,573.0,Occipital plane, x, x, x
574,574.0,Cruciform eminence, x, x, x
575,575.0,Internal occipital protuberance, x, x, x
576,576.0,(Internal occipital crest), x, x, x
577,577.0,Groove for transverse sinus, x, x, x
578,578.0,Groove for occipital sinus, x, x, x
579,579.0,Groove for marginal sinus, x, x, x
580,580.0,(Paramastoid process),,,
581,581.0,Cerebral fossa, x, x, x
582,582.0,Cerebellar fossa, x, x, x
583,583.0,(Vermian fossa), x, x, x
584,584.0,Sphenoid bone, x,, x
585,585.0,Body of sphenoid bone, x, x, x
586,586.0,Sphenoidal yoke, x, x, x
587,587.0,Limbus of sphenoid, x, x, x
588,588.0,Chiasmatic sulcus, x, x, x
589,589.0,Sella turcica, x, x, x
590,590.0,Tuberculum sellae, x, x, x
591,591.0,(Middle clinoid process), x, x, x
592,592.0,Hypophysial fossa, x, x, x
593,593.0,(Craniopharyngeal canal),,,
594,594.0,Dorsum sellae, x, x, x
595,595.0,Posterior clinoid process, x, x, x
596,596.0,Carotid sulcus, x, x, x
597,597.0,Sphenoidal lingula, x, x, x
598,598.0,Sphenoidal crest, x, x, x
599,599.0,Sphenoidal rostrum,,, x
600,600.0,Sinus of sphenoid bone, x,, x
601,601.0,Opening of sinus of sphenoid bone,,,
602,602.0,Septum of sphenoidal sinuses, x, x, x
603,603.0,Sphenoidal concha,,, x
604,604.0,Lesser wing, x, x, x
605,605.0,Optic canal, x, x, x
606,606.0,Infra-optic tubercle,,,
607,607.0,Anterior clinoid process, x, x, x
608,608.0,(Caroticoclinoid foramen),,,
609,609.0,Crista alaris,,,
610,610.0,Greater wing, x, x,
611,611.0,Cerebral surface of greater wing, x, x, x
612,612.0,Temporal surface of greater wing, x, x, x
613,613.0,Infratemporal surface of greater wing, x, x, x
614,614.0,Infratemporal crest,,, x
615,615.0,Maxillary surface of greater wing, x, x, x
616,616.0,Orbital surface of greater wing, x, x, x
617,617.0,Zygomatic margin of greater wing, x, x, x
618,618.0,Frontal margin of greater wing, x, x, x
619,619.0,Parietal margin of greater wing, x, x, x
620,620.0,Squamosal margin of greater wing, x, x, x
621,621.0,Foramen rotundum, x, x, x
622,622.0,Foramen ovale, x, x, x
623,623.0,(Sphenoidal emissary foramen),,,
624,624.0,Foramen spinosum, x, x, x
625,625.0,(Foramen petrosum),,,
626,626.0,Spine of sphenoid bone, x, x, x
627,627.0,Sulcus of auditory tube, x, x, x
628,628.0,Pterygoid process,, x,
629,629.0,Lateral pterygoid plate, x, x, x
630,630.0,Medial pterygoid plate, x, x, x
631,631.0,Pterygoid notch, x, x, x
632,632.0,Pterygoid fossa, x, x, x
633,633.0,Scaphoid fossa, x, x, x
634,634.0,Vaginal process of sphenoid bone, x, x, x
635,635.0,Palatovaginal groove,,, x
636,636.0,Vomerovaginal groove,,, x
637,637.0,Pterygoid hamulus, x, x, x
638,638.0,Groove of pterygoid hamulus, x, x,
639,639.0,Pterygoid canal, x, x, x
640,640.0,Pterygospinous process, x, x, x
641,641.0,Temporal bone, x,, x
642,642.0,Petrous part of temporal bone, x, x, x
643,643.0,Occipital margin of temporal bone, x, x, x
644,644.0,Mastoid process, x, x, x
645,645.0,Mastoid antrum,,, x
646,646.0,Mastoid cells,,, x
647,647.0,Mastoid notch, x, x, x
648,648.0,Groove for occipital artery,,, x
649,649.0,Mastoid foramen,,, x
650,650.0,Apex of petrous part, x, x, x
651,651.0,Carotid canal,,, x
652,652.0,External opening of carotid canal,,, x
653,653.0,Internal opening of carotid canal,,,
654,654.0,Caroticotympanic canaliculi,,, x
655,655.0,Musculotubal canal,,, x
656,656.0,Semicanal for tensor tympani,,, x
657,657.0,Semicanal for auditory tube,,, x
658,658.0,Septum of musculotubal canal,,, x
659,659.0,Anterior surface of petrous part, x, x, x
660,660.0,Tegmen tympani, x, x, x
661,661.0,Arcuate eminence, x, x, x
662,662.0,Hiatus for greater petrosal nerve,,,
663,663.0,Groove for greater petrosal nerve,,, x
664,664.0,Hiatus for lesser petrosal nerve,,, x
665,665.0,Groove for lesser petrosal nerve,,, x
666,666.0,Trigeminal impression,,, x
667,667.0,Petrous ridge,,, x
668,668.0,Groove for superior petrosal sinus,,, x
669,669.0,Posterior surface of petrous part, x, x, x
670,670.0,Internal acoustic opening,,, x
671,671.0,Internal acoustic meatus,,, x
672,672.0,Subarcuate fossa,,, x
673,673.0,Vestibular canaliculus,,, x
674,674.0,Opening of vestibular canal,,,
675,675.0,Posterior border of petrous part,,,
676,676.0,Jugular notch of temporal bone,,, x
677,677.0,Inferior surface of petrous part,,,
678,678.0,Jugular fossa,,, x
679,679.0,Cochlear canaliculus,,, x
680,680.0,Opening of cochlear canaliculus,,, x
681,681.0,Mastoid canaliculus,,, x
682,682.0,Intrajugular process of temporal bone,,, x
683,683.0,Styloid process of temporal bone, x, x, x
684,684.0,Stylomastoid foramen,,, x
685,685.0,Inferior tympanic canaliculus,,, x
686,686.0,Petrosal fossula,,, x
687,687.0,Bony tympanic cavity,,, x
688,688.0,Facial canal,,, x
689,689.0,Geniculum of facial canal,,, x
690,690.0,Posterior tympanic canaliculus,,, x
691,691.0,Anterior tympanic canaliculus,,,
692,692.0,Bony labyrinth,,, x
693,693.0,Tympanic part of temporal bone, x, x, x
694,694.0,Tympanic ring,,, x
695,695.0,Bony external acoustic opening,,, x
696,696.0,Bony external acoustic meatus,,, x
697,697.0,Greater tympanic spine,,, x
698,698.0,Lesser tympanic spine,,, x
699,699.0,Tympanic sulcus,,, x
700,700.0,Tympanic notch,,, x
701,701.0,Sheath of styloid process,,, x
702,702.0,Squamous part of temporal bone, x, x, x
703,703.0,Parietal border of temporal bone,,, x
704,704.0,Parietal notch,,, x
705,705.0,Sphenoidal margin of temporal bone,,, x
706,706.0,Temporal surface of temporal bone,,, x
707,707.0,Groove for middle temporal artery,,, x
708,708.0,Zygomatic process of temporal bone,,, x
709,709.0,Supramastoid crest,,, x
710,710.0,Suprameatal fovea,,, x
711,711.0,(Suprameatal spine),,,
712,712.0,Mandibular fossa,,, x
713,713.0,Articular surface of mandibular fossa,,,
714,714.0,Articular tubercle,,, x
715,715.0,Articular eminence,,,
716,716.0,Cerebral surface of squamous part of temporal bone,,,
717,717.0,Petrotympanic fissure,,, x
718,718.0,Petrosquamous fissure,,, x
719,719.0,Tympanosquamous fissure,,, x
720,720.0,Tympanomastoid fissure,,, x
721,721.0,Ethmoid bone, x,, x
722,722.0,Cribriform plate,,,
723,723.0,Cribriform foramina,,,
724,724.0,Crista galli,,,
725,725.0,Ala of crista galli,,,
726,726.0,Perpendicular plate of ethmoid bone,,,
727,727.0,Ethmoidal labyrinth,,,
728,728.0,Cells of ethmoid bone,,,
729,729.0,Anterior cells of ethmoid bone, x,,
